,VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
261,2305280010,e_e000299,14,스텝 인 명동 ,2023-05-28,2023-05-29,서울 중구 명동길 55,,,,,,,,180.0,24,N,11.0,7.0,4.0,4.0,3.0,5011011700.0
264,2305190003,e_e000301,3,콘래드,2023-05-19,2023-05-20,서울 영등포구 국제금융로 10,서울 영등포구 여의도동 23-1,126.9267428,37.5254277,,,POI01000TR003867V,콘래드 서울,510.0,24,N,7.0,1.0,5.0,5.0,5.0,
323,2305280008,e_e000317,20,토요코인 호텔 영등포점,2023-05-28,2023-05-28,서울 영등포구 신길로 293,서울 영등포구 영등포동1가 106,126.9120126,37.5176222,,,POI01000000B1H73Z,토요코인호텔 영등포점,210.0,24,N,1.0,1.0,4.0,3.0,3.0,
325,2305280010,e_e000317,22,토요코인 호텔 영등포점,2023-05-28,2023-05-29,서울 영등포구 신길로 293,서울 영등포구 영등포동1가 106,126.9120126,37.5176222,,,POI01000000B1H73Z,토요코인호텔 영등포점,120.0,24,Y,8.0,1.0,5.0,4.0,4.0,
381,2305270007,e_e000323,7,제이 모텔,2023-05-27,2023-05-27,경기 수원시 장안구 팔달로259번길 10,경기 수원시 장안구 영화동 327-1,127.0132892,37.289304,,,POI02001TR025710V,제이모텔,30.0,24,N,8.0,2.0,4.0,3.0,3.0,
384,2305270010,e_e000323,10,제이 모텔,2023-05-27,2023-05-28,경기 수원시 장안구 팔달로259번길 10,경기 수원시 장안구 영화동 327-1,,,,,POI02001TR025710V,제이모텔,150.0,24,N,8.0,2.0,4.0,4.0,4.0,
406,2305280002,e_e000331,3,드림 게스트하우스,2023-05-28,2023-05-28,서울 중구 퇴계로6길 22-5,서울 중구 남창동 190-14,126.9783834,37.5571673,,,POI01000TR040363V,드림게스트하우스,30.0,24,N,6.0,7.0,4.0,4.0,4.0,
410,2305280006,e_e000331,7,드림 게스트하우스,2023-05-28,2023-05-29,서울 중구 퇴계로6길 22-5,서울 중구 남창동 190-14,126.9783834,37.5571673,,,POI01000TR040363V,드림게스트하우스,1320.0,24,N,6.0,7.0,4.0,4.0,4.0,
413,2305290002,e_e000331,9,준 게스트하우스,2023-05-29,2023-05-29,서울 마포구 와우산로29나길 24-3,서울 마포구 서교동 335-36,126.9275565,37.5544152,,,POI01000TR010666V,준게스트하우스,30.0,24,N,6.0,7.0,4.0,4.0,4.0,
415,2305290004,e_e000331,11,준 게스트하우스,2023-05-29,2023-05-30,서울 마포구 와우산로29나길 24-3,서울 마포구 서교동 335-36,126.9275565,37.5544152,,,POI01000TR010666V,준게스트하우스,1350.0,24,Y,6.0,7.0,4.0,4.0,4.0,
422,2305190005,e_e000332,5,누 누 모텔,2023-05-19,2023-05-20,서울 종로구 수표로22길 6,서울 종로구 낙원동 180,126.9896572,37.5709694,,,POI010000006GKAKW,누누호텔,90.0,24,N,8.0,2.0,5.0,5.0,5.0,
426,2305280002,e_e000334,5,호텔 스테이지 79,2023-05-28,2023-05-29,경기 의정부시 신흥로239번길 11,경기 의정부시 의정부동 507-4,127.042462,37.7374556,,,POI02001TR033678V,호텔스테이지79,30.0,24,N,8.0,1.0,5.0,5.0,5.0,
436,2305270005,e_e000336,4,호텔에 펠리체,2023-05-27,2023-05-28,서울 강서구 마곡동로4길 15,서울 강서구 마곡동 797-10,,,,,POI01000000DRKGII,호텔엠펠리체,450.0,24,N,2.0,1.0,5.0,5.0,5.0,
439,2305280003,e_e000336,7,켄싱턴리조트,2023-05-28,2023-05-29,서울 영등포구 국회대로76길 16,서울 영등포구 여의도동 13-3,,,,,POI01000TR010071V,켄싱턴호텔 여의도,510.0,24,N,7.0,1.0,5.0,5.0,5.0,
472,2305190004,e_e000344,4,롯데호텔,2023-05-19,2023-05-19,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,127.1003405,37.5114666,,,POI01000TR019907V,롯데호텔 월드점,720.0,24,N,7.0,1.0,4.0,4.0,4.0,
473,2305190005,e_e000344,5,롯데호텔,2023-05-19,2023-05-20,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,127.1003405,37.5114666,,,POI01000TR019907V,롯데호텔 월드점,120.0,24,N,7.0,1.0,4.0,4.0,4.0,
477,2305190002,e_e000345,7,W 미니 호텔,2023-05-19,2023-05-20,서울 성북구 정릉로38나길 31,서울 성북구 정릉동 16-18,127.020565,37.6015757,,,POI010000006L4PVB,w호텔,30.0,24,N,8.0,2.0,4.0,4.0,3.0,
514,2305290005,e_e000347,22,펠리스 빌,2023-05-29,2023-05-30,,,,,,,,,240.0,24,Y,11.0,11.0,4.0,4.0,4.0,3117010200.0
526,2305210007,e_e000352,7,신라스테이,2023-05-21,2023-05-22,서울 종로구 삼봉로 71,서울 종로구 수송동 156,126.9811501,37.5725532,,,POI01000TR028150V,신라스테이 광화문,240.0,24,N,7.0,1.0,5.0,5.0,5.0,
559,2305150002,e_e000362,4,글램비글램핑,2023-05-15,2023-05-16,경기 화성시 서신면 해안길 64,경기 화성시 서신면 제부리 20-15,126.6282102,37.1697175,,,POI01000000DCCHWA,글램비글램핑,480.0,24,N,2.0,5.0,5.0,5.0,5.0,
575,2305200002,e_e000366,5,라마다 앙코르 바이 윈덤 김포한강호텔,2023-05-20,2023-05-21,경기 김포시 고촌읍 아라육로152번길 169,경기도 김포시 고촌읍 전호리 634 대,126.7858621,37.6012341,,,POI01000000B1HJQY,라마라앙코르김포한강호텔,150.0,24,N,2.0,1.0,4.0,4.0,4.0,1150010900.0
577,2305200004,e_e000366,3,라마다 앙코르 바이 윈덤 김포한강호텔,2023-05-20,2023-05-20,경기 김포시 고촌읍 아라육로152번길 169,경기 김포시 고촌읍 전호리 634,126.7858922,37.6012211,,,POI01000000B1HJQY,라마다앙코르바이윈덤 김포한강호텔,150.0,24,N,2.0,1.0,4.0,4.0,4.0,
579,2305210001,e_e000366,6,현대 프리미엄 아울렛 김포점,2023-05-21,2023-05-21,경기 김포시 고촌읍 아라육로152번길 100,경기 김포시 고촌읍 전호리 654,126.7855783,37.5993284,,,POI01000TR004195V,현대프리미엄아울렛 김포점,90.0,4,Y,7.0,1.0,4.0,4.0,4.0,
586,2306050006,e_e000369,7,신라스테이,2023-06-05,2023-06-06,서울 종로구 삼봉로 71,서울 종로구 수송동 156,,,,,POI01000TR000837V,신라스테이 광화문,300.0,24,N,6.0,1.0,4.0,2.0,3.0,
595,2305260002,e_e000371,5,힐스테이트에코 마곡나루역 오피스텔,2023-05-26,2023-05-27,서울 강서구 마곡중앙로 161-11,서울 강서구 마곡동 760-1,126.8267838,37.5681199,,,POI010000006GR6WB,힐스테이트에코마곡나루역오피스텔,150.0,24,N,5.0,1.0,5.0,5.0,4.0,
599,2305270001,e_e000371,10,힐스테이트 에코 마곡 오피스텔,2023-05-27,2023-05-28,서울 강서구 공항대로 269-15,서울 강서구 마곡동 797-14,126.8372492,37.5594447,,,POI01000000BK3936,힐스테이트에코마곡입구,420.0,24,Y,5.0,1.0,5.0,5.0,5.0,
662,2305210006,e_e000385,6,어반 티지 글램핑 카라반,2023-05-21,2023-05-22,,인천 강화군 내가면 고천리 209,126.412,37.7325677,,,POI02001TR020293V,어반티지 글램핑 카라반,540.0,24,N,2.0,5.0,4.0,4.0,4.0,
673,2305200002,e_e000395,4,파크 마린 호텔,2023-05-20,2023-05-21,인천 남동구 소래역로 44,인천 남동구 논현동 677-1,126.7347793,37.4010179,,,POI01000000DC560W,파크마린관광호텔,360.0,24,N,8.0,1.0,5.0,4.0,4.0,
674,2305200003,e_e000395,2,파크 마린 호텔,2023-05-20,2023-05-20,인천 남동구 소래역로 44,인천 남동구 논현동 677-1,126.7347793,37.4010179,,,POI01000000DC560W,파크마린관광호텔,1260.0,24,N,8.0,1.0,5.0,5.0,5.0,
683,2305200004,e_e000396,4,파라다이스 시티 원더 박스,2023-05-20,2023-05-20,인천 중구 영종해안남로321번길 186,인천 중구 운서동 2874,126.4573003,37.4365797,,,POI01000TR012182V,파라다이스시티 원더박스,60.0,6,N,1.0,1.0,4.0,4.0,4.0,
684,2305200005,e_e000396,5,파라다이스 시티,2023-05-20,2023-05-20,인천 중구 영종해안남로321번길 186,인천 중구 운서동 2874,126.4558126,37.4371576,,,POI01000000CIV3OC,파라다이스시티,30.0,24,N,2.0,1.0,5.0,5.0,5.0,
687,2305200008,e_e000396,8,파라다이스 시티,2023-05-20,2023-05-21,인천 중구 영종해안남로321번길 186,인천 중구 운서동 2874,126.4558126,37.4371576,,,POI01000000CIV3OC,파라다이스시티,120.0,24,Y,11.0,1.0,5.0,5.0,5.0,
692,2305280002,e_e000397,2,동두천 자연휴양림 복층 4호,2023-05-28,2023-05-29,산16,,,,,,,,1260.0,24,Y,4.0,9.0,5.0,5.0,5.0,4125011100.0
699,2305270002,e_e000403,7,쉐르빌 온천관광호텔,2023-05-27,2023-05-28,경기 양평군 개군면 신내길7번길 37,경기 양평군 개군면 공세리 389-2,,,,,POI02001TR017804V,쉐르빌온천관광호텔,300.0,24,N,8.0,1.0,5.0,5.0,5.0,
740,2306030011,e_e000412,11,호텔도노,2023-06-03,2023-06-03,경기 수원시 팔달구 신풍로 68,경기 수원시 팔달구 장안동 30-6,127.0138346,37.2870468,,,POI01000TR033786V,호텔도노,60.0,24,N,6.0,1.0,4.0,5.0,5.0,
744,2306030015,e_e000412,15,호텔도노,2023-06-03,2023-06-04,경기 수원시 팔달구 신풍로 68,경기 수원시 팔달구 장안동 30-6,,,,,POI01000TR033786V,호텔도노,60.0,24,N,6.0,1.0,4.0,4.0,3.0,
760,2306040004,e_e000422,5,포 포인츠 바이 쉐라톤 조선 서울 명동,2023-06-04,2023-06-04,서울 중구 삼일대로10길 36,서울 중구 저동2가 89,126.9894236,37.5655769,,,POI01000TR026818V,포포인츠 바이 쉐라톤 조선 서울명동,60.0,24,Y,4.0,1.0,5.0,5.0,5.0,
764,2306040008,e_e000422,8,포 포인츠 바이 쉐라톤 조선 서울 명동,2023-06-04,2023-06-05,서울 중구 삼일대로10길 36,서울 중구 저동2가 89,126.9894236,37.5655769,,,POI01000TR026818V,포포인츠 바이 쉐라톤 조선 서울명동,300.0,24,Y,8.0,1.0,5.0,5.0,5.0,
769,2306050005,e_e000422,13,포 포인츠 바이 쉐라톤 서울 구로,2023-06-05,2023-06-06,서울 구로구 디지털로32길 72,서울 구로구 구로동 1128-1,126.8988844,37.4831726,,,POI01000TR029118V,포포인츠 바이쉐라톤 서울구로,390.0,24,Y,6.0,1.0,5.0,5.0,5.0,
782,2305220004,e_e000430,5,호텔코고라,2023-05-22,2023-05-23,인천 부평구 경원대로1417번길 4,인천 부평구 부평동 160-25,,,,,POI0100000091J874,호텔코고라,390.0,24,N,8.0,2.0,3.0,4.0,3.0,
787,2305230004,e_e000430,9,호텔코고라,2023-05-23,2023-05-24,인천 부평구 경원대로1417번길 4,인천 부평구 부평동 160-25,,,,,POI0100000091J874,호텔코고라,300.0,24,Y,8.0,2.0,4.0,3.0,3.0,
793,2305240006,e_e000430,15,호텔 아띠,2023-05-24,2023-05-25,인천 중구 신포로35번길 88,인천 중구 송학동1가 9-6,,,,,POI010000006E4PKT,호텔아띠,120.0,24,N,8.0,2.0,4.0,3.0,4.0,
799,2305210004,e_e000432,4,포 포인츠 바이 쉐라톤 수원 호텔,2023-05-21,2023-05-21,경기 수원시 팔달구 효원로307번길 27,경기 수원시 팔달구 인계동 1122-8,127.0355898,37.2622132,,,POI01000000ALX3LC,FPBS수원호텔,30.0,24,N,8.0,1.0,5.0,4.0,5.0,
801,2305210006,e_e000432,6,포 포인츠 바이 쉐라톤 수원 호텔,2023-05-21,2023-05-21,경기 수원시 팔달구 효원로307번길 27,경기 수원시 팔달구 인계동 1122-8,127.0355898,37.2622132,,,POI01000000ALX3LC,FPBS수원호텔,150.0,12,Y,8.0,1.0,5.0,4.0,4.0,
802,2305210010,e_e000432,7,포 포인츠 바이 쉐라톤 수원 호텔,2023-05-21,2023-05-22,경기 수원시 팔달구 효원로307번길 27,경기도 수원시 팔달구 인계동 1122-8대,127.0355761,37.2622229,,,POI01000000ALX3LC,FPBS수원호텔,150.0,24,N,8.0,1.0,4.0,4.0,4.0,4128710400.0
822,2305270007,e_e000438,7,나인 트리 프리미어 호텔 인사동,2023-05-27,2023-05-27,서울 종로구 인사동길 49,서울 종로구 관훈동 155-2,126.9835789,37.5744835,,,POI01000TR007103V,나인트리프리미어호텔 인사동,30.0,24,N,6.0,1.0,5.0,5.0,5.0,
826,2305270012,e_e000438,11,나인 트리 프리미어 호텔 인사동,2023-05-27,2023-05-28,서울 종로구 인사동길 49,서울 종로구 관훈동 155-2,,,,,POI01000TR007103V,나인트리프리미어호텔 인사동,210.0,24,N,6.0,1.0,5.0,5.0,5.0,
832,2305280007,e_e000438,17,나인 트리 프리미어 호텔 인사동,2023-05-28,2023-05-29,서울 종로구 인사동길 49,서울 종로구 관훈동 155-2,,,,,POI01000TR007103V,나인트리프리미어호텔 인사동,150.0,24,Y,7.0,1.0,5.0,5.0,5.0,
874,2305280004,e_e000451,3,Capsule 24,2023-05-28,2023-05-29,부평구 육동로 7,,,,,,,,30.0,24,N,8.0,7.0,1.0,1.0,1.0,2823710100.0
878,2305290004,e_e000451,7,토요코인 호텔 인천 부평점,2023-05-29,2023-05-30,인천 부평구 광장로 10,인천 부평구 부평동 534-29,126.7220705,37.4904457,,,POI01000000B5M2RR,토요코인호텔 인천부평점,420.0,24,N,2.0,1.0,3.0,3.0,3.0,
884,2306030005,e_e000453,5,소테츠호텔즈 더 스페라지르 서울 명동,2023-06-03,2023-06-03,서울 중구 남대문로5길 15,서울 중구 북창동 93-42,126.9787804,37.5620544,,,POI02001TR016596V,소테츠호텔즈 더스프라지르 서울명동,30.0,24,N,8.0,1.0,4.0,3.0,4.0,
889,2306030011,e_e000453,10,소테츠호텔즈 더 스페라 지르 서울 명동,2023-06-03,2023-06-04,서울 중구 남대문로5길 15,서울 중구 북창동 93-42,,,,,POI02001TR016596V,소테츠호텔즈 더스프라지르 서울명동,210.0,24,Y,8.0,1.0,4.0,3.0,4.0,
890,2306040001,e_e000453,24,소테츠호텔즈 더 스페라 지르 서울 명동,2023-06-04,2023-06-05,서울 중구 남대문로5길 15,서울 중구 북창동 93-42,,,,,POI02001TR016596V,소테츠호텔즈 더스프라지르 서울명동,240.0,24,Y,8.0,1.0,4.0,3.0,4.0,
906,2306050003,e_e000453,27,소테츠호텔즈 더 스페라지르 서울 명동,2023-06-05,2023-06-06,서울 중구 남대문로5길 15,서울 중구 북창동 93-42,,,,,POI02001TR016596V,소테츠호텔즈 더스프라지르 서울명동,210.0,24,Y,8.0,1.0,4.0,3.0,4.0,
923,2305150002,e_e000460,7,그랜드 인터컨티넨탈 서울 파르나스,2023-05-15,2023-05-16,서울 강남구 테헤란로 521,서울 강남구 삼성동 159-8,127.0608271,37.5092906,,,POI01000TR026756V,그랜드인터컨티넨탈 서울파르나스,270.0,24,N,6.0,1.0,5.0,5.0,5.0,
927,2305150006,e_e000460,5,그랜드 인터컨티넨탈 서울 파르나스,2023-05-15,2023-05-15,서울 강남구 테헤란로 521,서울 강남구 삼성동 159-8,127.0608271,37.5092906,,,POI01000TR026756V,그랜드인터컨티넨탈 서울파르나스,120.0,24,N,6.0,1.0,5.0,5.0,5.0,
948,2306020004,e_e000472,5,바나나 PC,2023-06-02,2023-06-03,서울 강남구 광평로56길 8-13,서울 강남구 수서동 725,127.1031681,37.4867433,,,POI01000000CI1RWE,바나나PC,30.0,24,N,6.0,12.0,5.0,5.0,5.0,
951,2306030002,e_e000472,7,더 큐브 호텔,2023-06-03,2023-06-03,서울 중구 퇴계로20길 31,서울 중구 남산동2가 18-9,126.9862058,37.5588191,,,POI01000000D8XXP0,더큐브호텔,0.0,24,N,5.0,7.0,5.0,5.0,5.0,
955,2306030007,e_e000472,11,더 큐브 호텔,2023-06-03,2023-06-04,서울 중구 퇴계로20길 31,서울 중구 남산동2가 18-9,126.9862058,37.5588191,,,POI01000000D8XXP0,더큐브호텔,30.0,24,N,5.0,7.0,4.0,4.0,4.0,
961,2306040006,e_e000472,17,서울숲 스테이,2023-06-04,2023-06-05,서울 성동구 왕십리로 108-1,서울 성동구 성수동1가 656-1066,127.0447745,37.5473426,,,POI01000TR015530V,서울숲스테이,90.0,24,N,5.0,7.0,5.0,5.0,5.0,
984,2305260004,e_e000474,3,카카오 호텔,2023-05-26,2023-05-27,구월동 1129-11 카카오호텔,,,,,,,,150.0,24,N,8.0,1.0,5.0,5.0,5.0,2820010100.0
986,2305270002,e_e000474,5,아셈 호텔,2023-05-27,2023-05-28,경기 김포시 태장로795번길 145,경기 김포시 장기동 2011-2,,,,,POI01000TR035962V,아셈호텔,390.0,24,N,2.0,1.0,5.0,5.0,5.0,
1033,2305190007,e_e000482,7,글래드,2023-05-19,2023-05-20,서울 영등포구 의사당대로 16,서울 영등포구 여의도동 17-5,126.9172764,37.5273992,,,POI01000TR035069V,글래드 여의도,120.0,24,N,6.0,1.0,4.0,4.0,4.0,
1038,2305200005,e_e000482,12,글래드,2023-05-20,2023-05-21,서울 영등포구 의사당대로 16,서울 영등포구 여의도동 17-5,126.9172764,37.5273992,,,POI01000TR035069V,글래드 여의도,300.0,24,N,6.0,1.0,4.0,3.0,3.0,
1046,2305270003,e_e000483,3,가평 프리미엄 키즈 풀빌라,2023-05-27,2023-05-28,경기 가평군 조종면 현등사길 55-233,경기 가평군 조종면 운악리 418-59,127.3452872,37.8605796,,,POI01000TR036911V,가평프리미엄키즈풀빌라,600.0,24,N,6.0,3.0,3.0,2.0,2.0,
1047,2305280001,e_e000483,4,가평 프리미엄 키즈 풀빌라,2023-05-28,2023-05-29,경기 가평군 조종면 현등사길 55-233,경기 가평군 조종면 운악리 418-59,127.3452872,37.8605796,,,POI01000TR036911V,가평프리미엄키즈풀빌라,600.0,24,N,8.0,3.0,3.0,2.0,2.0,
1060,2306020008,e_e000490,8,호텔쿠레타케소 인사동,2023-06-02,2023-06-03,서울 종로구 인사동길 20-9,서울 종로구 인사동 34-2,,,,,POI01000000B1G4IA,호텔쿠레타케소,240.0,24,N,6.0,1.0,4.0,4.0,4.0,
1063,2306030003,e_e000490,11,호텔쿠레타케소 인사동,2023-06-03,2023-06-03,서울 종로구 인사동길 20-9,서울 종로구 인사동 34-2,,,,,POI01000000B1G4IA,호텔쿠레타케소,60.0,24,Y,2.0,1.0,4.0,3.0,3.0,
1073,2305270006,e_e000491,6,자일 랜드 글램핑,2023-05-27,2023-05-28,경기 포천시 영북면 호국로4350번길 154-187,경기 포천시 영북면 자일리 7-1,127.3096558,38.1056376,,,POI02001TR024772V,자일랜드글램핑,480.0,24,Y,4.0,5.0,5.0,5.0,5.0,
1086,2305160006,e_e000496,6,경원재앰배서더 인천,2023-05-16,2023-05-17,인천 연수구 테크노파크로 200,인천 연수구 송도동 24-11,126.6376842,37.3914753,,,POI010000006EGDX6,경원재앰배서더 인천,360.0,24,N,1.0,1.0,5.0,5.0,5.0,
1093,2306030002,e_e000500,4,아멕스 랜드,2023-06-03,2023-06-04,경기 연천군 왕징면 왕산로218번길 61,경기 연천군 왕징면 무등리 183-1,,,,,POI01000TR028039V,알멕스랜드,690.0,24,N,5.0,4.0,1.0,5.0,5.0,
1099,2306040004,e_e000500,8,아멕스 랜드,2023-06-04,2023-06-05,경기 연천군 왕징면 왕산로218번길 61,경기 연천군 왕징면 무등리 183-1,,,,,POI01000TR028039V,알멕스랜드,630.0,24,Y,5.0,4.0,5.0,5.0,5.0,
1128,2305190004,e_e000509,4,토요코인 호텔 영등포점,2023-05-19,2023-05-19,서울 영등포구 신길로 293,서울 영등포구 영등포동1가 106,126.9120126,37.5176222,,,POI01000000B1H73Z,토요코인호텔 영등포점,30.0,24,N,6.0,1.0,5.0,5.0,5.0,
1132,2305190009,e_e000509,8,토요코인 호텔 영등포점,2023-05-19,2023-05-20,서울 영등포구 신길로 293,서울 영등포구 영등포동1가 106,126.9120126,37.5176222,,,POI01000000B1H73Z,토요코인호텔 영등포점,30.0,24,N,7.0,1.0,5.0,5.0,5.0,
1179,2305160008,e_e000526,7,서울 큐브의화,2023-05-16,2023-05-17,서울 마포구 대흥로30길 18-10,서울 마포구 염리동 9-124,126.9468477,37.5560238,,,POI01000000D9IDP2,서울큐브이화,180.0,24,N,2.0,7.0,4.0,5.0,4.0,
1215,2306010002,e_e000540,2,파크 마린 호텔,2023-06-01,2023-06-01,인천 남동구 소래역로 44,인천 남동구 논현동 677-1,126.7347793,37.4010179,,,POI01000000DC560W,파크마린관광호텔,150.0,24,Y,8.0,1.0,4.0,3.0,4.0,
1218,2306010008,e_e000540,5,파크 마린 호텔,2023-06-01,2023-06-02,인천 남동구 소래역로 44,인천광역시 남동구 논현동 677-1대,126.7348277,37.4010469,,,POI01000000DC560W,파크마린관광호텔,240.0,24,Y,8.0,1.0,4.0,3.0,4.0,4139013500.0
1247,2306090005,e_e000547,2,경기도 교직원 가평 서덕원,2023-06-09,2023-06-10,경기 가평군 가평읍 북한강변로 238,경기 가평군 가평읍 금대리 520-5,127.5334043,37.7515475,,,POI01000000ASCUHL,경기도교직원가평수덕원,390.0,24,N,8.0,4.0,5.0,5.0,5.0,
1252,2305260002,e_e000548,3,곤지암리조트,2023-05-26,2023-05-27,경기 광주시 도척면 도척윗로 278,경기 광주시 도척면 도웅리 534,127.2940917,37.3379816,,,POI01000TR001676V,곤지암리조트,300.0,24,N,1.0,4.0,5.0,5.0,5.0,
1292,2305200007,e_e000561,7,아트 폴레,2023-05-20,2023-05-21,인천 연수구 인천타워대로 257,인천 연수구 송도동 84-2,126.6320243,37.3935617,,,POI01000TR018424V,아트포레,120.0,24,Y,11.0,10.0,4.0,4.0,4.0,
1314,2305280006,e_e000563,5,호텔야자,2023-05-28,2023-05-29,서울 종로구 수표로28길 9-1,서울 종로구 낙원동 86,126.98892,37.5730839,,,POI01000TR019843V,호텔야자 종로점,750.0,24,N,6.0,1.0,3.0,2.0,2.0,
1348,2305240005,e_e000567,5,국립 아세안자연휴양림,2023-05-24,2023-05-25,경기 양주시 백석읍 기산로 472,경기 양주시 백석읍 기산리 산 103-1,126.9421849,37.7737671,,,POI01000TR018301V,국립아세안자연휴양림,390.0,24,N,2.0,9.0,5.0,5.0,5.0,
1381,2305230005,e_e000590,5,탑클라우드 호텔 수원점,2023-05-23,2023-05-23,경기 수원시 장안구 수성로350번길 13,경기 수원시 장안구 영화동 305-1,127.0108899,37.2924426,,,POI010000006MZKLS,TOPCLOUP호텔,30.0,24,N,6.0,1.0,5.0,5.0,5.0,
1383,2305230007,e_e000590,7,탑클라우드 호텔 수원점,2023-05-23,2023-05-23,경기 수원시 장안구 수성로350번길 13,경기 수원시 장안구 영화동 305-1,127.0108899,37.2924426,,,POI010000006MZKLS,TOPCLOUP호텔,810.0,24,N,6.0,1.0,5.0,5.0,5.0,
1384,2305230010,e_e000590,8,탑클라우드 호텔 수원점,2023-05-23,2023-05-24,경기 수원시 장안구 수성로350번길 13,경기도 수원시 장안구 영화동 305-1대,127.0108905,37.2924484,,,POI010000006MZKLS,TOPCLOUP호텔,90.0,24,N,2.0,1.0,5.0,5.0,5.0,4115010600.0
1406,2305270003,e_e000595,3,곤지암리조트,2023-05-27,2023-05-27,경기 광주시 도척면 도척윗로 278,경기 광주시 도척면 도웅리 534,127.2940917,37.3379816,,,POI01000TR001676V,곤지암리조트,60.0,24,N,1.0,4.0,4.0,4.0,5.0,
1409,2305270006,e_e000595,6,곤지암리조트,2023-05-27,2023-05-28,경기 광주시 도척면 도척윗로 278,경기 광주시 도척면 도웅리 534,127.2940917,37.3379816,,,POI01000TR001676V,곤지암리조트,240.0,24,N,1.0,4.0,5.0,4.0,4.0,
1421,2306040002,e_e000599,9,더 플라자,2023-06-04,2023-06-05,,,,,,,,,270.0,24,N,7.0,1.0,3.0,3.0,3.0,1114010300.0
